id,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49
1,val_1_01,val_1_02,val_1_03,val_1_04,val_1_05,val_1_06,val_1_07,val_1_08,val_1_09,val_1_10,val_1_11,val_1_12,val_1_13,val_1_14,val_1_15,val_1_16,val_1_17,val_1_18,val_1_19,val_1_20,val_1_21,val_1_22,val_1_23,val_1_24,val_1_25,val_1_26,val_1_27,val_1_28,val_1_29,val_1_30,val_1_31,val_1_32,val_1_33,val_1_34,val_1_35,val_1_36,val_1_37,val_1_38,val_1_39,val_1_40,val_1_41,val_1_42,val_1_43,val_1_44,val_1_45,val_1_46,val_1_47,val_1_48,val_1_49
2,val_2_01,val_2_02,val_2_03,val_2_04,val_2_05,val_2_06,val_2_07,val_2_08,val_2_09,val_2_10,val_2_11,val_2_12,val_2_13,val_2_14,val_2_15,val_2_16,val_2_17,val_2_18,val_2_19,val_2_20,val_2_21,val_2_22,val_2_23,val_2_24,val_2_25,val_2_26,val_2_27,val_2_28,val_2_29,val_2_30,val_2_31,val_2_32,val_2_33,val_2_34,val_2_35,val_2_36,val_2_37,val_2_38,val_2_39,val_2_40,val_2_41,val_2_42,val_2_43,val_2_44,val_2_45,val_2_46,val_2_47,val_2_48,val_2_49
3,val_3_01,val_3_02,val_3_03,val_3_04,CHANGED_3_05,val_3_06,val_3_07,val_3_08,val_3_09,CHANGED_3_10,val_3_11,val_3_12,val_3_13,val_3_14,CHANGED_3_15,val_3_16,val_3_17,val_3_18,val_3_19,CHANGED_3_20,val_3_21,val_3_22,val_3_23,val_3_24,CHANGED_3_25,val_3_26,val_3_27,val_3_28,val_3_29,CHANGED_3_30,val_3_31,val_3_32,val_3_33,val_3_34,CHANGED_3_35,val_3_36,val_3_37,val_3_38,val_3_39,CHANGED_3_40,val_3_41,val_3_42,val_3_43,val_3_44,CHANGED_3_45,val_3_46,val_3_47,val_3_48,val_3_49
4,val_4_01,val_4_02,val_4_03,val_4_04,val_4_05,val_4_06,val_4_07,val_4_08,val_4_09,val_4_10,val_4_11,val_4_12,val_4_13,val_4_14,val_4_15,val_4_16,val_4_17,val_4_18,val_4_19,val_4_20,val_4_21,val_4_22,val_4_23,val_4_24,val_4_25,val_4_26,val_4_27,val_4_28,val_4_29,val_4_30,val_4_31,val_4_32,val_4_33,val_4_34,val_4_35,val_4_36,val_4_37,val_4_38,val_4_39,val_4_40,val_4_41,val_4_42,val_4_43,val_4_44,val_4_45,val_4_46,val_4_47,val_4_48,val_4_49
5,val_5_01,val_5_02,val_5_03,val_5_04,val_5_05,val_5_06,val_5_07,val_5_08,val_5_09,val_5_10,val_5_11,val_5_12,val_5_13,val_5_14,val_5_15,val_5_16,val_5_17,val_5_18,val_5_19,val_5_20,val_5_21,val_5_22,val_5_23,val_5_24,val_5_25,val_5_26,val_5_27,val_5_28,val_5_29,val_5_30,val_5_31,val_5_32,val_5_33,val_5_34,val_5_35,val_5_36,val_5_37,val_5_38,val_5_39,val_5_40,val_5_41,val_5_42,val_5_43,val_5_44,val_5_45,val_5_46,val_5_47,val_5_48,val_5_49
6,val_6_01,val_6_02,val_6_03,val_6_04,val_6_05,val_6_06,val_6_07,val_6_08,val_6_09,val_6_10,val_6_11,val_6_12,val_6_13,val_6_14,val_6_15,val_6_16,val_6_17,val_6_18,val_6_19,val_6_20,val_6_21,val_6_22,val_6_23,val_6_24,val_6_25,val_6_26,val_6_27,val_6_28,val_6_29,val_6_30,val_6_31,val_6_32,val_6_33,val_6_34,val_6_35,val_6_36,val_6_37,val_6_38,val_6_39,val_6_40,val_6_41,val_6_42,val_6_43,val_6_44,val_6_45,val_6_46,val_6_47,val_6_48,val_6_49
7,val_7_01,val_7_02,val_7_03,val_7_04,CHANGED_7_05,val_7_06,val_7_07,val_7_08,val_7_09,CHANGED_7_10,val_7_11,val_7_12,val_7_13,val_7_14,CHANGED_7_15,val_7_16,val_7_17,val_7_18,val_7_19,CHANGED_7_20,val_7_21,val_7_22,val_7_23,val_7_24,CHANGED_7_25,val_7_26,val_7_27,val_7_28,val_7_29,CHANGED_7_30,val_7_31,val_7_32,val_7_33,val_7_34,CHANGED_7_35,val_7_36,val_7_37,val_7_38,val_7_39,CHANGED_7_40,val_7_41,val_7_42,val_7_43,val_7_44,CHANGED_7_45,val_7_46,val_7_47,val_7_48,val_7_49
8,val_8_01,val_8_02,val_8_03,val_8_04,val_8_05,val_8_06,val_8_07,val_8_08,val_8_09,val_8_10,val_8_11,val_8_12,val_8_13,val_8_14,val_8_15,val_8_16,val_8_17,val_8_18,val_8_19,val_8_20,val_8_21,val_8_22,val_8_23,val_8_24,val_8_25,val_8_26,val_8_27,val_8_28,val_8_29,val_8_30,val_8_31,val_8_32,val_8_33,val_8_34,val_8_35,val_8_36,val_8_37,val_8_38,val_8_39,val_8_40,val_8_41,val_8_42,val_8_43,val_8_44,val_8_45,val_8_46,val_8_47,val_8_48,val_8_49
9,val_9_01,val_9_02,val_9_03,val_9_04,val_9_05,val_9_06,val_9_07,val_9_08,val_9_09,val_9_10,val_9_11,val_9_12,val_9_13,val_9_14,val_9_15,val_9_16,val_9_17,val_9_18,val_9_19,val_9_20,val_9_21,val_9_22,val_9_23,val_9_24,val_9_25,val_9_26,val_9_27,val_9_28,val_9_29,val_9_30,val_9_31,val_9_32,val_9_33,val_9_34,val_9_35,val_9_36,val_9_37,val_9_38,val_9_39,val_9_40,val_9_41,val_9_42,val_9_43,val_9_44,val_9_45,val_9_46,val_9_47,val_9_48,val_9_49
10,val_10_01,val_10_02,val_10_03,val_10_04,val_10_05,val_10_06,val_10_07,val_10_08,val_10_09,val_10_10,val_10_11,val_10_12,val_10_13,val_10_14,val_10_15,val_10_16,val_10_17,val_10_18,val_10_19,val_10_20,val_10_21,val_10_22,val_10_23,val_10_24,val_10_25,val_10_26,val_10_27,val_10_28,val_10_29,val_10_30,val_10_31,val_10_32,val_10_33,val_10_34,val_10_35,val_10_36,val_10_37,val_10_38,val_10_39,val_10_40,val_10_41,val_10_42,val_10_43,val_10_44,val_10_45,val_10_46,val_10_47,val_10_48,val_10_49
11,val_11_01,val_11_02,val_11_03,val_11_04,val_11_05,val_11_06,val_11_07,val_11_08,val_11_09,val_11_10,val_11_11,val_11_12,val_11_13,val_11_14,val_11_15,val_11_16,val_11_17,val_11_18,val_11_19,val_11_20,val_11_21,val_11_22,val_11_23,val_11_24,val_11_25,val_11_26,val_11_27,val_11_28,val_11_29,val_11_30,val_11_31,val_11_32,val_11_33,val_11_34,val_11_35,val_11_36,val_11_37,val_11_38,val_11_39,val_11_40,val_11_41,val_11_42,val_11_43,val_11_44,val_11_45,val_11_46,val_11_47,val_11_48,val_11_49
12,val_12_01,val_12_02,val_12_03,val_12_04,CHANGED_12_05,val_12_06,val_12_07,val_12_08,val_12_09,CHANGED_12_10,val_12_11,val_12_12,val_12_13,val_12_14,CHANGED_12_15,val_12_16,val_12_17,val_12_18,val_12_19,CHANGED_12_20,val_12_21,val_12_22,val_12_23,val_12_24,CHANGED_12_25,val_12_26,val_12_27,val_12_28,val_12_29,CHANGED_12_30,val_12_31,val_12_32,val_12_33,val_12_34,CHANGED_12_35,val_12_36,val_12_37,val_12_38,val_12_39,CHANGED_12_40,val_12_41,val_12_42,val_12_43,val_12_44,CHANGED_12_45,val_12_46,val_12_47,val_12_48,val_12_49
13,val_13_01,val_13_02,val_13_03,val_13_04,val_13_05,val_13_06,val_13_07,val_13_08,val_13_09,val_13_10,val_13_11,val_13_12,val_13_13,val_13_14,val_13_15,val_13_16,val_13_17,val_13_18,val_13_19,val_13_20,val_13_21,val_13_22,val_13_23,val_13_24,val_13_25,val_13_26,val_13_27,val_13_28,val_13_29,val_13_30,val_13_31,val_13_32,val_13_33,val_13_34,val_13_35,val_13_36,val_13_37,val_13_38,val_13_39,val_13_40,val_13_41,val_13_42,val_13_43,val_13_44,val_13_45,val_13_46,val_13_47,val_13_48,val_13_49
14,val_14_01,val_14_02,val_14_03,val_14_04,val_14_05,val_14_06,val_14_07,val_14_08,val_14_09,val_14_10,val_14_11,val_14_12,val_14_13,val_14_14,val_14_15,val_14_16,val_14_17,val_14_18,val_14_19,val_14_20,val_14_21,val_14_22,val_14_23,val_14_24,val_14_25,val_14_26,val_14_27,val_14_28,val_14_29,val_14_30,val_14_31,val_14_32,val_14_33,val_14_34,val_14_35,val_14_36,val_14_37,val_14_38,val_14_39,val_14_40,val_14_41,val_14_42,val_14_43,val_14_44,val_14_45,val_14_46,val_14_47,val_14_48,val_14_49
15,val_15_01,val_15_02,val_15_03,val_15_04,val_15_05,val_15_06,val_15_07,val_15_08,val_15_09,val_15_10,val_15_11,val_15_12,val_15_13,val_15_14,val_15_15,val_15_16,val_15_17,val_15_18,val_15_19,val_15_20,val_15_21,val_15_22,val_15_23,val_15_24,val_15_25,val_15_26,val_15_27,val_15_28,val_15_29,val_15_30,val_15_31,val_15_32,val_15_33,val_15_34,val_15_35,val_15_36,val_15_37,val_15_38,val_15_39,val_15_40,val_15_41,val_15_42,val_15_43,val_15_44,val_15_45,val_15_46,val_15_47,val_15_48,val_15_49
